target_ratio,sim_time,eta_a,eta_b,eta_avg,i_controller_a,i_controller_b,e_delta_a,e_delta_b
1.005,26300.0,0.009245,-0.012308,-0.001531,0.047676,0.048501,0,0
1.005,26400.0,0.009288,-0.011922,-0.001317,0.070421,0.062257,0,0
1.005,26500.0,0.012308,-0.005970,0.003169,0.051810,0.049227,1,1
1.005,26600.0,0.015385,-0.008942,0.003221,-0.046564,0.012948,1,-1
1.005,26700.0,0.012308,-0.008929,0.001690,-0.141984,0.005676,-1,1
1.005,26800.0,0.008902,-0.008929,-0.000013,-0.063110,-0.016282,-1,0
1.005,26900.0,0.009288,-0.009217,0.000036,-0.040365,-0.038240,0,0
1.005,27000.0,0.009346,-0.008942,0.000202,-0.017620,-0.060199,0,0
1.005,27100.0,0.006329,-0.024242,-0.008957,0.005125,-0.002038,0,-1
1.005,27200.0,0.017544,-0.014159,0.001692,0.027870,0.035350,0,0
1.005,27300.0,0.012461,-0.011976,0.000242,-0.005511,0.072739,1,0
1.005,27400.0,0.013400,-0.010909,0.001246,-0.041846,0.044846,0,1
1.005,27500.0,0.012177,-0.009217,0.001480,-0.078181,0.011054,0,0
1.005,27600.0,0.009390,-0.006024,0.001683,-0.052482,-0.031718,-1,1
1.005,27700.0,0.008902,-0.008929,-0.000013,-0.029737,-0.080305,0,-1
1.005,27800.0,0.009346,-0.011994,-0.001324,-0.006991,-0.022145,0,-1
1.005,27900.0,0.009274,-0.011905,-0.001316,0.015754,0.015244,0,0
1.005,28000.0,0.009288,-0.012012,-0.001362,0.038499,0.052632,0,0
1.005,28100.0,0.009132,-0.005961,0.001586,0.061244,-0.031640,0,2
1.005,28200.0,0.009146,-0.008942,0.000102,0.083989,-0.053599,0,-1
1.005,28300.0,0.015244,-0.011922,0.001661,0.012144,-0.022145,2,-1
1.005,28400.0,0.012308,-0.012346,-0.000019,-0.018223,0.015244,-1,0
1.005,28500.0,0.009146,-0.008942,0.000102,-0.001386,0.002188,-1,1
1.005,28600.0,0.009036,-0.005961,0.001537,0.021359,-0.075983,0,0
1.005,28700.0,0.011869,-0.017804,-0.002967,0.005702,0.038858,1,-3
1.005,28800.0,0.009317,-0.011887,-0.001285,0.016632,0.076981,-1,1
1.005,28900.0,0.009419,-0.011994,-0.001287,0.039377,0.117407,0,1
1.005,29000.0,0.009202,-0.002981,0.003111,0.029628,0.003675,1,1
1.005,29100.0,0.009360,-0.006126,0.001617,0.052373,-0.053786,0,0
1.005,29200.0,0.009302,-0.008996,0.000153,0.075118,-0.108184,0,-1
1.005,29300.0,0.015504,-0.011905,0.001800,0.062415,-0.079598,2,0
1.005,29400.0,0.012579,-0.014837,-0.001129,-0.012325,-0.024458,-1,-1
1.005,29500.0,0.009302,-0.008969,0.000167,0.025190,-0.028189,-1,1
1.005,29600.0,0.012599,-0.009009,0.001795,-0.008191,-0.040955,1,0
1.005,29700.0,0.012177,-0.011922,0.000127,-0.044526,-0.018283,0,0
1.005,29800.0,0.009132,-0.011922,-0.001395,-0.080861,0.017513,-1,-1
1.005,29900.0,0.006126,-0.011922,-0.002898,0.015738,0.055963,-1,0
1.005,30000.0,0.006088,-0.011922,-0.002917,0.097568,0.043742,0,1
1.005,30100.0,0.012177,-0.008942,0.001617,0.087820,0.001716,2,1
1.005,30200.0,0.015552,-0.011922,0.001815,-0.028280,0.031278,1,-1
1.005,30300.0,0.015625,-0.011922,0.001851,-0.123700,0.057858,0,0
1.005,30400.0,0.006088,-0.009274,-0.001593,-0.038916,0.004363,-3,0
1.005,30500.0,0.006410,-0.011922,-0.002756,0.042914,0.028044,0,0
1.005,30600.0,0.012289,-0.005952,0.003168,-0.022963,-0.056004,2,1
1.005,30700.0,0.012759,-0.011976,0.000392,-0.059298,-0.039029,0,-1
1.005,30800.0,0.012384,-0.011887,0.000248,-0.095633,-0.001288,0,0
1.005,30900.0,0.009231,-0.012066,-0.001418,-0.046301,0.036454,-1,0
1.005,31000.0,0.006309,-0.011905,-0.002798,0.059163,0.074196,-1,0
1.005,31100.0,0.015221,-0.008929,0.003146,0.008055,0.028745,3,1
1.005,31200.0,0.012177,-0.005952,0.003112,-0.043051,-0.067243,-1,1
1.005,31300.0,0.006240,-0.009009,-0.001384,-0.008429,-0.115623,-2,-1
1.005,31400.0,0.009132,-0.014859,-0.002863,0.026074,0.020128,1,-2
1.005,31500.0,0.012195,-0.014859,-0.001332,-0.081571,0.117305,0,0
1.005,31600.0,0.009105,-0.003263,0.002921,-0.002436,0.059950,0,4
1.005,31700.0,0.009132,-0.009217,-0.000042,0.020309,-0.018207,0,-2
1.005,31800.0,0.012365,-0.012559,-0.000097,-0.018980,-0.039901,1,0
1.005,31900.0,0.012177,-0.011958,0.000109,-0.055315,0.003784,0,-1
