[run_job] id=doe-cos-027
[run_job] workdir=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/runs/doe-cos-027
[run_job] exe=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/target/release/eis_quick_sweep.exe
[run_job] log=/c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/doe_results/eis_doe_lf/doe-cos-027_amp1e-4_freq3e-7to1e-6_cos.log
[run_job] args: --amplitude 1e-4 --f-min 3e-7 --f-max 1e-6 --points-per-decade 4 --scenario /c/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/measurement_configs/eis_validation_flat_symmetric.toml
[run_job] start=2026-05-04T23:29:32Z
Successfully placed 86 random bodies
Successfully placed 86 random bodies
Successfully placed 598 random bodies
Successfully placed 599 random bodies
scenario=C:/Users/Yeyian PC/Desktop/ParticleSim-master/ParticleSim/measurement_configs/eis_validation_flat_symmetric.toml seed=0xC0FFEE
bodies=3449 foils=2
dt=5 fs  group_a=[1]  group_b=[2]
equilibrating 50000 fs (10000 steps)
zero-current pre-hold 10000 fs (2000 steps)
[EIS] Started sweep (Galvanostatic): 4 frequencies from 1.00e-6 to 3.00e-7 (1/fs)
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=5450005fs/8000000fs cycles=5.45 samples=290000 V=8.8411e-3 I=9.5107e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=5500005fs/8000000fs cycles=5.50 samples=300000 V=1.3842e-2 I=1.0000e-4
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=5550005fs/8000000fs cycles=5.55 samples=310000 V=2.9443e-2 I=9.5105e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=5600005fs/8000000fs cycles=5.60 samples=320000 V=4.7036e-2 I=8.0900e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=5650005fs/8000000fs cycles=5.65 samples=330000 V=6.5675e-2 I=5.8776e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=5700005fs/8000000fs cycles=5.70 samples=340000 V=7.0306e-2 I=3.0898e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=5750005fs/8000000fs cycles=5.75 samples=350000 V=6.0581e-2 I=-3.3788e-9
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=5800005fs/8000000fs cycles=5.80 samples=360000 V=6.0403e-2 I=-3.0905e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=5850005fs/8000000fs cycles=5.85 samples=370000 V=5.3496e-2 I=-5.8781e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=5900005fs/8000000fs cycles=5.90 samples=380000 V=2.2678e-2 I=-8.0904e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=5950005fs/8000000fs cycles=5.95 samples=390000 V=1.0241e-2 I=-9.5107e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=6000005fs/8000000fs cycles=6.00 samples=400000 V=-1.9391e-3 I=-1.0000e-4
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=6050005fs/8000000fs cycles=6.05 samples=410000 V=-1.8186e-2 I=-9.5105e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=6100005fs/8000000fs cycles=6.10 samples=420000 V=-2.9906e-2 I=-8.0900e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=6150005fs/8000000fs cycles=6.15 samples=430000 V=-4.4751e-2 I=-5.8776e-5
[EIS] freq 1/4 (1.00e-6 1/fs) phase=Recording elapsed=6200005fs/8000000fs cycles=6.20 samples=440000 V=-5.0652e-2 I=-3.0899e-5
