target_ratio,sim_time,eta_a,eta_b,eta_avg,i_controller_a,i_controller_b,e_delta_a,e_delta_b
1.005,30700.0,0.015773,-0.009009,0.003382,-0.022944,-0.031844,2,1
1.005,30800.0,0.012480,-0.012012,0.000234,-0.117930,-0.081344,0,-1
1.005,30900.0,0.009509,-0.012598,-0.001545,-0.133267,-0.104412,-1,0
1.005,31000.0,0.009524,-0.015552,-0.003014,-0.169254,0.026007,-1,-1
1.005,31100.0,0.003120,-0.014992,-0.005936,0.024843,0.032498,-2,0
1.005,31200.0,0.009464,-0.011958,-0.001247,0.074399,-0.014111,2,1
1.005,31300.0,0.012698,-0.011958,0.000370,0.026613,-0.037121,1,0
1.005,31400.0,0.012698,-0.012232,0.000233,-0.009374,-0.071895,0,0
1.005,31500.0,0.012480,-0.011940,0.000270,-0.045361,-0.094905,0,0
1.005,31600.0,0.012480,-0.011940,0.000270,-0.081348,-0.117915,0,0
1.005,31700.0,0.006441,-0.022152,-0.007855,-0.081938,-0.011129,-1,-2
1.005,31800.0,0.003155,-0.018987,-0.007916,0.017768,0.016011,-1,1
1.005,31900.0,0.009419,-0.016000,-0.003290,0.099775,0.046126,1,0
1.005,32000.0,0.012442,-0.014948,-0.001253,0.037238,0.076242,1,0
1.005,32100.0,0.009317,-0.009009,0.000154,0.001251,0.035571,0,1
1.005,32200.0,0.009317,-0.012480,-0.001582,0.021309,0.039090,-1,0
1.005,32300.0,0.006211,-0.011905,-0.002847,0.044316,0.016080,0,0
1.005,32400.0,0.012422,-0.011905,0.000259,0.020128,-0.027578,1,0
1.005,32500.0,0.012480,-0.014948,-0.001234,-0.015859,-0.015189,0,-1
1.005,32600.0,0.009585,-0.015552,-0.002984,-0.051846,0.020800,0,0
1.005,32700.0,0.009434,-0.012500,-0.001533,-0.087833,0.003691,0,1
1.005,32800.0,0.006211,-0.012862,-0.003325,-0.091314,-0.019319,-1,0
1.005,32900.0,0.009600,-0.014970,-0.002685,-0.068365,-0.030346,0,-1
1.005,33000.0,0.009317,-0.012327,-0.001505,-0.045358,-0.018087,0,1
1.005,33100.0,0.003140,-0.012030,-0.004445,0.033699,-0.041097,-1,0
1.005,33200.0,0.012500,-0.012085,0.000208,0.006560,-0.064107,2,0
