phase,pulse_num,sim_time,eta_a,eta_b,e_delta_a,e_delta_b
rest,1,44800.0,-0.058997,-0.061824,0,0
rest,1,44900.0,-0.058910,-0.056548,0,0
rest,1,45000.0,-0.059347,-0.060332,0,0
rest,1,45100.0,-0.058910,-0.052713,0,0
rest,1,45200.0,-0.060883,-0.051948,0,0
rest,1,45300.0,-0.058910,-0.056972,0,0
rest,1,45400.0,-0.058282,-0.057325,0,0
rest,1,45500.0,-0.060976,-0.062603,0,0
rest,1,45600.0,-0.059603,-0.062868,0,0
rest,1,45700.0,-0.057785,-0.070707,0,0
rest,1,45800.0,-0.054487,-0.066148,0,0
rest,1,45900.0,-0.053292,-0.062500,0,0
rest,1,46000.0,-0.097902,-0.101695,0,0
rest,1,46100.0,-0.053571,-0.058104,0,0
rest,1,46200.0,-0.056872,-0.063694,0,0
rest,1,46300.0,-0.067257,-0.069971,0,0
rest,1,46400.0,-0.056213,-0.061947,0,0
rest,1,46500.0,-0.053333,-0.063158,0,0
rest,1,46600.0,-0.056047,-0.061350,0,0
rest,1,46700.0,-0.057927,-0.060150,0,0
rest,1,46800.0,-0.053333,-0.063348,0,0
rest,1,46900.0,-0.057927,-0.058252,0,0
rest,1,47000.0,-0.053731,-0.055641,0,0
rest,1,47100.0,-0.051515,-0.062397,0,0
rest,1,47200.0,-0.054878,-0.056213,0,0
rest,1,47300.0,-0.058462,-0.073276,0,0
rest,1,47400.0,-0.054381,-0.061824,0,0
rest,1,47500.0,-0.051282,-0.060510,0,0
rest,1,47600.0,-0.057229,-0.062780,0,0
rest,1,47700.0,-0.053459,-0.066536,0,0
rest,1,47800.0,-0.054299,-0.063348,0,0
rest,1,47900.0,-0.054299,-0.062315,0,0
rest,1,48000.0,-0.052067,-0.064122,0,0
rest,1,48100.0,-0.055375,-0.121864,0,0
rest,1,48200.0,-0.056801,-0.063253,0,0
rest,1,48300.0,-0.056464,-0.061404,0,0
rest,1,48400.0,-0.056972,-0.057315,0,0
rest,1,48500.0,-0.064516,-0.064000,0,0
